"order_month","product_category_name","order_count"
"2018-02","informatica_acessorios","991"
"2017-11","cama_mesa_banho","956"
"2018-06","beleza_saude","878"
"2018-08","beleza_saude","864"
"2018-01","cama_mesa_banho","825"
"2018-03","cama_mesa_banho","795"
"2018-05","beleza_saude","795"
"2018-03","esporte_lazer","779"
"2018-07","beleza_saude","777"
"2017-11","moveis_decoracao","776"
"2018-03","informatica_acessorios","775"
"2018-06","cama_mesa_banho","765"
"2018-05","cama_mesa_banho","764"
"2018-04","cama_mesa_banho","741"
"2018-02","cama_mesa_banho","708"
"2018-01","informatica_acessorios","681"
"2018-03","beleza_saude","677"
"2018-04","beleza_saude","676"
"2018-08","cama_mesa_banho","669"
"2018-02","beleza_saude","663"
"2018-08","utilidades_domesticas","654"
"2018-05","relogios_presentes","653"
"2018-02","esporte_lazer","646"
"2018-01","esporte_lazer","640"
"2018-01","beleza_saude","629"
"2018-05","utilidades_domesticas","629"
"2018-07","cama_mesa_banho","623"
"2018-05","moveis_decoracao","623"
"2018-01","moveis_decoracao","611"
"2017-11","esporte_lazer","604"
"2018-03","moveis_decoracao","603"
"2018-06","utilidades_domesticas","583"
"2018-04","esporte_lazer","581"
"2018-04","moveis_decoracao","580"
"2017-07","cama_mesa_banho","576"
"2017-12","cama_mesa_banho","568"
"2017-11","beleza_saude","565"
"2018-07","utilidades_domesticas","555"
"2017-10","cama_mesa_banho","548"
"2017-11","ferramentas_jardim","548"
"2018-04","informatica_acessorios","534"
"2017-09","cama_mesa_banho","532"
"2017-11","informatica_acessorios","527"
"2018-07","relogios_presentes","515"
"2017-08","cama_mesa_banho","511"
"2018-05","esporte_lazer","509"
"2017-12","esporte_lazer","509"
"2018-08","esporte_lazer","493"
"2018-04","relogios_presentes","489"
"2018-06","relogios_presentes","485"
"2017-12","beleza_saude","483"
"2017-11","brinquedos","473"
"2018-05","informatica_acessorios","471"
"2017-12","brinquedos","470"
"2018-04","utilidades_domesticas","468"
"2017-10","esporte_lazer","467"
"2017-11","relogios_presentes","462"
"2017-09","esporte_lazer","461"
"2018-08","moveis_decoracao","454"
"2018-07","esporte_lazer","452"
"2017-08","moveis_decoracao","449"
"2018-03","relogios_presentes","432"
"2018-08","relogios_presentes","429"
"2018-06","esporte_lazer","429"
"2017-08","esporte_lazer","425"
"2018-07","moveis_decoracao","425"
"2018-02","moveis_decoracao","425"
"2018-08","informatica_acessorios","425"
"2018-07","informatica_acessorios","423"
"2017-11","utilidades_domesticas","413"
"2018-06","informatica_acessorios","410"
"2018-02","utilidades_domesticas","407"
"2017-12","moveis_decoracao","404"
"2018-03","utilidades_domesticas","403"
"2018-06","moveis_decoracao","402"
"2018-01","papelaria","400"
"2017-09","beleza_saude","386"
"2018-08","automotivo","386"
"2017-07","esporte_lazer","386"
"2017-06","cama_mesa_banho","383"
"2017-11","telefonia","377"
"2017-05","cama_mesa_banho","376"
"2017-12","relogios_presentes","371"
"2018-01","relogios_presentes","369"
"2017-10","moveis_decoracao","368"
"2018-02","telefonia","365"
"2018-01","telefonia","359"
"2017-08","beleza_saude","357"
"2017-10","beleza_saude","355"
"2017-08","informatica_acessorios","353"
"2017-09","moveis_decoracao","349"
"2018-04","automotivo","348"
"2018-01","eletronicos","348"
"2018-03","automotivo","348"
"2018-01","utilidades_domesticas","347"
"2018-03","telefonia","344"
"2017-03","moveis_decoracao","339"
"2018-02","relogios_presentes","336"
"2018-07","automotivo","335"
"2017-06","utilidades_domesticas","335"
"2018-02","eletronicos","334"
"2017-12","ferramentas_jardim","326"
"2017-05","esporte_lazer","324"
"2018-02","automotivo","323"
"2017-05","informatica_acessorios","322"
"2018-05","automotivo","320"
"2017-07","beleza_saude","318"
"2017-07","informatica_acessorios","314"
"2017-10","relogios_presentes","314"
"2018-05","ferramentas_jardim","313"
"2017-10","informatica_acessorios","312"
"2017-07","moveis_decoracao","312"
"2017-12","utilidades_domesticas","310"
"2017-11","perfumaria","306"
"2017-05","utilidades_domesticas","302"
"2018-06","automotivo","301"
"2017-12","informatica_acessorios","301"
"2017-08","utilidades_domesticas","299"
"2017-09","brinquedos","298"
"2018-01","cool_stuff","297"
"2017-11","cool_stuff","296"
"2017-03","cama_mesa_banho","293"
"2018-02","ferramentas_jardim","293"
"2017-10","brinquedos","286"
"2018-08","telefonia","284"
"2017-05","beleza_saude","284"
"2018-04","telefonia","283"
"2017-10","ferramentas_jardim","281"
"2017-12","automotivo","278"
"2017-05","moveis_decoracao","276"
"2017-06","esporte_lazer","274"
"2017-12","telefonia","273"
"2017-09","relogios_presentes","269"
"2018-03","ferramentas_jardim","269"
"2017-04","cama_mesa_banho","265"
"2017-06","beleza_saude","265"
"2017-07","utilidades_domesticas","265"
"2018-04","ferramentas_jardim","265"
"2017-06","informatica_acessorios","264"
"2017-08","cool_stuff","263"
"2018-05","telefonia","263"
"2018-03","eletronicos","263"
"2017-09","informatica_acessorios","261"
"2017-12","cool_stuff","261"
"2018-01","automotivo","258"
"2018-03","cool_stuff","255"
"2017-10","cool_stuff","255"
"2017-11","automotivo","255"
"2017-09","utilidades_domesticas","254"
"2017-10","telefonia","254"
"2018-01",NULL,"253"
"2017-02","moveis_decoracao","253"
"2017-12","papelaria","253"
"2018-05","bebes","251"
"2017-12","perfumaria","249"
"2017-05","cool_stuff","243"
"2018-05","eletronicos","242"
"2018-01","ferramentas_jardim","240"
"2017-08","ferramentas_jardim","238"
"2018-04","bebes","236"
"2018-03","brinquedos","235"
