"customer_id","r_score","fm_score","rfm_segment"
"13482",5,1,"15"
"13866",4,1,"14"
"12622",5,1,"15"
"12573",5,1,"15"
"17670",5,1,"15"
"16887",3,1,"13"
"15958",4,1,"14"
"14806",4,1,"14"
"17187",5,1,"15"
"16965",5,1,"15"
"15052",5,1,"15"
"16583",5,1,"15"
"16665",5,1,"15"
"13229",5,1,"15"
"17893",5,1,"15"
"14271",5,1,"15"
"16594",4,1,"14"
"15820",5,1,"15"
"13002",5,1,"15"
"13703",5,1,"15"
"16757",5,1,"15"
"16190",3,1,"13"
"16055",5,1,"15"
"18004",5,1,"15"
"17286",2,1,"12"
"14652",4,1,"14"
"17079",4,1,"14"
"17394",5,1,"15"
"16457",5,1,"15"
"16990",5,1,"15"
"14799",3,1,"13"
"17118",5,1,"15"
"14340",5,1,"15"
"16213",4,1,"14"
"14581",2,1,"12"
"17650",2,1,"12"
"14199",5,1,"15"
"17475",4,1,"14"
"18174",1,1,"11"
"16527",4,1,"14"
"13723",5,1,"15"
"13067",4,1,"14"
"17233",3,1,"13"
"12574",5,1,"15"
"13161",5,1,"15"
"15637",3,1,"13"
"17619",5,1,"15"
"13638",2,1,"12"
"13600",5,1,"15"
"14627",5,1,"15"
"17347",4,1,"14"
"13561",5,1,"15"
"18045",3,1,"13"
"18256",5,1,"15"
"14699",5,1,"15"
"18120",5,1,"15"
"12756",4,1,"14"
"12618",2,1,"12"
"14345",3,1,"13"
"17356",5,1,"15"
"14582",3,1,"13"
"13877",4,1,"14"
"14457",5,1,"15"
"16959",4,1,"14"
"15604",3,1,"13"
"15216",4,1,"14"
"15226",5,1,"15"
"15503",5,1,"15"
"16006",5,1,"15"
"14689",5,1,"15"
"18011",5,1,"15"
"16482",2,1,"12"
"15904",1,1,"11"
"13532",3,1,"13"
"13581",5,1,"15"
"18255",4,1,"14"
"17556",5,1,"15"
"17871",5,1,"15"
"13697",3,1,"13"
"17245",5,1,"15"
"17301",2,1,"12"
"17517",5,1,"15"
"14861",3,1,"13"
"14381",3,1,"13"
"12956",5,1,"15"
"13065",5,1,"15"
"17455",5,1,"15"
"13584",5,1,"15"
"13244",4,1,"14"
"15292",5,1,"15"
"14438",5,1,"15"
"14413",5,1,"15"
"15705",5,1,"15"
"15327",3,1,"13"
"13809",5,1,"15"
"14208",4,1,"14"
